nutrient_id,product_id,weight
1,21,0.09538
2,21,0.5
3,21,0.2
4,21,2.2
5,21,220.0
6,21,18.0
7,21,0.0
8,21,0.5
9,21,5.0
10,21,0.08
11,21,0.07
12,21,0.333
13,21,0.1
14,21,0.03
15,21,0.4
16,21,23.0
17,21,0.0
18,21,11.0
19,21,1.1
20,21,140.0
21,21,18.0
22,21,10.0
23,21,17.0
24,21,30.0
25,21,0.2
26,21,0.2
27,21,20.0
28,21,0.157
29,21,1.4
30,21,0.352
31,21,0.001
32,21,1.738
33,21,0.264
34,21,0.836
35,21,24.0
36,21,36.0
37,21,33.0
38,21,8.0
39,21,5.0
40,21,20.0
41,21,17.0
42,21,17.0
43,21,8.0
44,21,25.0
45,21,27.0
46,21,11.0
47,21,231.0
48,21,29.0
49,21,76.0
50,21,98.0
51,21,20.0
52,21,19.0
53,21,28.0
54,21,0.048
55,21,0.017
56,21,0.059
57,21,0.0
58,21,0.0
59,21,0.095
60,21,0.059
61,21,0.036
62,21,0.0
63,21,1.98
64,21,0.18
65,21,0.003
66,21,
67,21,
68,21,
69,21,
70,21,
