nutrient_id,product_id,weight
1,26,0.094708
2,26,1.07
3,26,0.3
4,26,1.242
5,26,400.0
6,26,71.0
7,26,0.0
8,26,0.24
9,26,80.0
10,26,0.033
11,26,0.037
12,26,0.733
13,26,0.2
14,26,0.121
15,26,0.5
16,26,66.0
17,26,0.0
18,26,26.0
19,26,1.7
20,26,144.0
21,26,40.0
22,26,11.0
23,26,30.0
24,26,18.0
25,26,0.6
26,26,0.37
27,26,57.0
28,26,0.167
29,26,0.3
30,26,0.04
31,26,0.019
32,26,1.242
33,26,0.99
34,26,0.91
35,26,69.0
36,26,72.0
37,26,58.0
38,26,32.0
39,26,10.0
40,26,47.0
41,26,39.0
42,26,52.0
43,26,20.0
44,26,70.0
45,26,80.0
46,26,26.0
47,26,575.0
48,26,70.0
49,26,89.0
50,26,296.0
51,26,35.0
52,26,24.0
53,26,39.0
54,26,0.074
55,26,0.041
56,26,0.099
57,26,0.0
58,26,0.0
59,26,0.125
60,26,0.099
61,26,0.026
62,26,0.0
63,26,1.69
64,26,0.1
65,26,0.03
66,26,
67,26,
68,26,
69,26,
70,26,
