nutrient_id,product_id,weight
1,66,0.062169
2,66,2.36
3,66,31.701
4,66,3.27
5,66,0.0
6,66,345.0
7,66,1.1
8,66,0.71
9,66,0.0
10,66,0.025
11,66,0.15
12,66,0.597
13,66,0.3
14,66,0.036
15,66,3.0
16,66,4.0
17,66,0.4
18,66,1.0
19,66,0.0
20,66,112.0
21,66,80.0
22,66,10.0
23,66,63.0
24,66,69.0
25,66,0.03
26,66,0.26
27,66,6.0
28,66,0.002
29,66,2.4
30,66,0.0
31,66,0.034
32,66,3.27
33,66,0.0
34,66,0.0
35,66,130.0
36,66,223.0
37,66,168.0
38,66,58.0
39,66,20.0
40,66,112.0
41,66,102.0
42,66,102.0
43,66,31.0
44,66,149.0
45,66,80.0
46,66,61.0
47,66,1236.0
48,66,80.0
49,66,186.0
50,66,475.0
51,66,48.0
52,66,214.0
53,66,121.0
54,66,18.998
55,66,9.972
56,66,0.194
57,66,0.0
58,66,0.0
59,66,0.855
60,66,0.194
61,66,0.661
62,66,0.084
63,66,0.05
64,66,0.27
65,66,0.08600000000000001
66,66,
67,66,
68,66,
69,66,
70,66,
