nutrient_id,product_id,weight
1,12,0.085697
2,12,3.6
3,12,0.351
4,12,4.787
5,12,185.0
6,12,43.0
7,12,0.0
8,12,0.041
9,12,24.0
10,12,0.1
11,12,0.055
12,12,1.48
13,12,0.11
14,12,0.046
15,12,2.0
16,12,12.0
17,12,0.0
18,12,8.8
19,12,4.25
20,12,150.0
21,12,20.0
22,12,20.0
23,12,62.0
24,12,360.0
25,12,1.53
26,12,0.65
27,12,130.0
28,12,0.2
29,12,2.2
30,12,3.067
31,12,0.215
32,12,3.137
33,12,0.261
34,12,3.989
35,12,140.0
36,12,230.0
37,12,230.0
38,12,30.0
39,12,29.0
40,12,130.0
41,12,100.0
42,12,150.0
43,12,36.0
44,12,160.0
45,12,340.0
46,12,64.0
47,12,1639.0
48,12,68.0
49,12,268.0
50,12,481.0
51,12,83.0
52,12,68.0
53,12,136.0
54,12,0.068
55,12,0.031
56,12,0.032
57,12,0.0
58,12,0.0
59,12,0.191
60,12,0.032
61,12,0.159
62,12,0.0
63,12,2.81
64,12,0.4
65,12,0.547
66,12,
67,12,
68,12,
69,12,
70,12,
