product_id,factor_id,coefficient
10,5,0.62
77,5,0.62
27,5,0.63
33,5,0.75
31,5,0.8
14,5,0.75
32,5,0.88
68,5,0.82
67,5,
70,5,
66,5,0.88
57,5,
87,5,3.17
62,5,2.45
42,5,3.17
53,5,3.17
49,5,4.05
90,5,4.05
91,5,2.9
30,5,3.5
61,5,4.0
13,5,2.1
59,5,4.0
38,5,0.87
23,5,0.94
76,5,2.2
8,5,2.2
82,5,0.6
26,5,0.85
65,5,0.78
78,5,0.85
64,5,0.92
22,5,0.92
21,5,0.78
72,5,0.63
3,5,0.93
51,5,0.88
9,5,
37,5,-
74,5,0.83
47,5,0.92
83,5,0.5
11,5,2.1
75,5,0.99
36,5,0.99
12,5,0.93
92,5,1.01
7,5,0.88
50,5,0.88
71,5,0.9
85,5,-
41,5,-
4,5,-
15,5,-
2,5,-
35,5,-
55,5,1.2
84,5,1.5
1,5,1.8
17,5,1.6
80,5,-
5,5,-
28,5,1.28
60,5,1.5
