product_id,factor_id,coefficient
10,1,0.736
77,1,0.95
27,1,0.86
33,1,0.65
31,1,0.94
14,1,0.926
32,1,0.88
68,1,0.77
67,1,
70,1,
66,1,
57,1,
87,1,
62,1,
42,1,
53,1,
49,1,
90,1,
91,1,
30,1,0.9841
61,1,
13,1,
59,1,
38,1,0.84
23,1,0.7
76,1,0.99
8,1,0.99
82,1,0.78
26,1,0.85
65,1,0.75
78,1,0.52
64,1,0.8
22,1,0.8
21,1,0.8
72,1,0.85
3,1,0.8
51,1,0.95
9,1,0.78
37,1,0.8
74,1,0.7
47,1,0.8
83,1,0.74
11,1,0.99
75,1,0.74
36,1,0.74
12,1,0.65
92,1,
7,1,0.6
50,1,0.9
71,1,
85,1,0.88
41,1,0.74
4,1,0.7
15,1,0.89
2,1,0.74
35,1,0.61
55,1,
84,1,0.95
1,1,0.96
17,1,0.98
80,1,
5,1,
28,1,
60,1,0.99
