product_id,factor_id,coefficient
10,6,0.78
77,6,0.78
27,6,0.75
33,6,0.75
31,6,0.88
14,6,0.8
32,6,0.83
68,6,0.82
67,6,0.7
70,6,0.88
66,6,
57,6,0.85
87,6,-
62,6,-
42,6,-
53,6,-
49,6,-
90,6,-
91,6,-
30,6,3.5
61,6,
13,6,
59,6,
38,6,0.74
23,6,0.8
76,6,-
8,6,-
82,6,0.6
26,6,0.85
65,6,0.78
78,6,0.85
64,6,0.92
22,6,0.85
21,6,0.78
72,6,0.63
3,6,0.73
51,6,-
9,6,
37,6,-
74,6,0.83
47,6,0.85
83,6,0.5
11,6,
75,6,
36,6,
12,6,0.92
92,6,1.01
7,6,0.88
50,6,-
71,6,
85,6,0.8
41,6,-
4,6,0.81
15,6,-
2,6,-
35,6,-
55,6,
84,6,1.5
1,6,
17,6,1.6
80,6,-
5,6,-
28,6,1.28
60,6,1.5
