product_id,factor_id,coefficient
10,8,0.62
77,8,0.62
27,8,0.56
33,8,0.78
31,8,0.88
14,8,0.75
32,8,0.88
68,8,0.82
67,8,
70,8,
66,8,
57,8,
87,8,3.17
62,8,2.45
42,8,3.17
53,8,3.17
49,8,4.05
90,8,4.05
91,8,2.9
30,8,3.5
61,8,4.0
13,8,2.1
59,8,4.0
38,8,0.87
23,8,0.94
76,8,2.2
8,8,2.2
82,8,0.6
26,8,0.85
65,8,0.78
78,8,0.85
64,8,0.92
22,8,0.92
21,8,0.78
72,8,0.63
3,8,0.93
51,8,0.88
9,8,0.94
37,8,-
74,8,0.83
47,8,0.92
83,8,0.5
11,8,2.1
75,8,0.99
36,8,0.99
12,8,0.93
92,8,1.01
7,8,0.88
50,8,0.88
71,8,0.9
85,8,-
41,8,-
4,8,-
15,8,-
2,8,-
35,8,-
55,8,
84,8,1.5
1,8,
17,8,
80,8,-
5,8,-
28,8,1.28
60,8,1.5
