product_id,factor_id,coefficient
11,6,
12,6,-
14,6,
16,6,-
19,6,
20,6,-
22,6,-
26,6,-
27,6,-
28,6,0.73
29,6,0.81
30,6,0.78
33,6,
35,6,-
36,6,-
37,6,-
38,6,
40,6,0.88
41,6,0.88
42,6,-
44,6,
45,6,
47,6,0.9
48,6,-
72,6,0.9
74,6,0.9
79,6,-
81,6,0.78
82,6,
84,6,0.92
86,6,0.92
87,6,
88,6,-
89,6,-
91,6,
92,6,1.17
95,6,0.8
96,6,
97,6,-
104,6,-
105,6,
110,6,1.6
112,6,-
114,6,0.75
115,6,
136,6,
137,6,0.78
138,6,
139,6,0.8
141,6,0.85
142,6,0.8
143,6,0.9
146,6,0.81
147,6,
148,6,0.85
150,6,-
151,6,0.9
152,6,
155,6,1.0
156,6,1.0
158,6,0.75
159,6,
160,6,0.85
166,6,1.01
167,6,1.01
168,6,3.5
169,6,
170,6,
172,6,
174,6,
177,6,
178,6,0.88
180,6,0.69
183,6,0.88
184,6,0.83
185,6,0.83
186,6,0.83
187,6,0.75
188,6,
189,6,
190,6,-
191,6,
192,6,
193,6,-
197,6,-
198,6,0.5
200,6,-
201,6,0.74
202,6,-
203,6,-
206,6,-
207,6,-
209,6,-
210,6,0.9
212,6,-
214,6,-
219,6,
220,6,
224,6,0.82
226,6,
230,6,
241,6,0.85
243,6,-
244,6,
248,6,
261,6,
262,6,
281,6,0.75
282,6,2.9
287,6,-
288,6,
294,6,-
296,6,-
298,6,-
300,6,-
301,6,0.8
303,6,
305,6,
307,6,
308,6,-
309,6,
310,6,
313,6,0.96
314,6,-
315,6,-
323,6,0.78
326,6,
333,6,
334,6,
335,6,
340,6,-
340,6,
356,6,
358,6,
363,6,1.16
367,6,
368,6,
370,6,-
371,6,-
372,6,
383,6,-
384,6,-
385,6,-
386,6,
389,6,0.8
390,6,0.8
391,6,-
392,6,
393,6,
395,6,-
396,6,0.92
397,6,
401,6,
404,6,
405,6,0.65
407,6,-
409,6,0.78
411,6,0.78
412,6,-
413,6,0.9
414,6,
419,6,0.9
420,6,
427,6,
428,6,
429,6,
431,6,-
432,6,-
433,6,-
435,6,0.73
436,6,0.88
437,6,0.88
438,6,
439,6,0.82
440,6,
443,6,
444,6,
445,6,
446,6,
448,6,
452,6,
460,6,
461,6,
462,6,
463,6,
464,6,0.78
465,6,
466,6,
467,6,
469,6,0.63
471,6,0.83
472,6,-
474,6,
476,6,-
478,6,-
481,6,
484,6,0.78
486,6,0.72
488,6,0.82
492,6,
493,6,
493,6,
496,6,
497,6,0.85
498,6,-
499,6,
500,6,0.78
502,6,-
509,6,-
515,6,0.6
516,6,-
519,6,0.5
520,6,
521,6,0.8
526,6,-
649,6,-
667,6,
669,6,
676,6,0.5
677,6,0.5
678,6,
679,6,
680,6,
681,6,
682,6,
683,6,1.01
684,6,0.82
685,6,0.85
686,6,
687,6,0.82
688,6,0.82
689,6,-
690,6,-
691,6,-
692,6,
693,6,
694,6,0.9
695,6,-
696,6,
