micro_id,product_id,weight
1,346,
2,346,99.0
3,346,108.0
4,346,229.0
5,346,181.0
6,346,34.0
7,346,0.4
8,346,743.0
9,346,313.0
10,346,3.2
11,346,4.0
12,346,142.0
13,346,1550.0
14,346,79240.0
15,346,37.0
16,346,71.0
17,346,65.0
18,346,599.0
19,346,0.0
20,346,93.0
21,346,166.0
22,346,6.3
23,346,135.0
24,346,106.0
25,346,0.02
26,346,
27,346,275.0
28,346,206.0
29,346,
30,346,
31,346,11.0
32,346,8.0
33,346,15.0
34,346,66.0
35,346,378.0
36,346,42.0
37,346,1524.0
38,346,884.0
39,346,18.0
40,346,18.0
41,346,34.0
42,346,692.0
43,346,44.0
44,346,921.0
45,346,107.0
46,346,52.0
47,346,271.0
48,346,10176.0
49,346,
50,346,154.0
51,346,0.07
52,346,150.0
53,346,134.0
54,346,120.0
55,346,39.0
56,346,135.0
57,346,2.0
58,346,84.0
59,346,1.19
60,346,84.0
61,346,5.0
62,346,311.0
63,346,23.0
64,346,0.0
65,346,71.0
66,346,19.0
