micro_id,product_id,weight
1,324,
2,324,467.0
3,324,490.0
4,324,615.0
5,324,480.0
6,324,92.0
7,324,0.0
8,324,5100.0
9,324,500.0
10,324,4.0
11,324,20.0
12,324,80.0
13,324,0.0
14,324,11481.0
15,324,1940.0
16,324,180.0
17,324,403.0
18,324,2599.0
19,324,0.0
20,324,3000.0
21,324,410.0
22,324,1.0
23,324,270.0
24,324,18.0
25,324,0.0
26,324,
27,324,660.0
28,324,320.0
29,324,
30,324,
31,324,65.0
32,324,1300.0
33,324,400.0
34,324,140.0
35,324,122.0
36,324,5.0
37,324,4150.0
38,324,2690.0
39,324,54.0
40,324,54.0
41,324,552.0
42,324,0.0
43,324,220.0
44,324,4600.0
45,324,13.0
46,324,606.0
47,324,1262.0
48,324,1206.0
49,324,
50,324,530.0
51,324,2.41
52,324,20.0
53,324,340.0
54,324,320.0
55,324,120.0
56,324,490.0
57,324,1.0
58,324,210.0
59,324,5.91
60,324,110.0
61,324,0.0
62,324,2100.0
63,324,200.0
64,324,0.0
65,324,80.0
66,324,0.0
