micro_id,product_id,weight
1,459,
2,459,283.0
3,459,298.0
4,459,421.0
5,459,368.0
6,459,113.0
7,459,0.2
8,459,2292.0
9,459,415.0
10,459,4.8
11,459,22.0
12,459,149.0
13,459,370.0
14,459,34659.0
15,459,980.0
16,459,149.0
17,459,265.0
18,459,1990.0
19,459,8.0
20,459,572.0
21,459,329.0
22,459,7.4
23,459,148.0
24,459,35.0
25,459,0.37
26,459,
27,459,562.0
28,459,260.0
29,459,
30,459,
31,459,13.0
32,459,220.0
33,459,67.0
34,459,136.0
35,459,2930.0
36,459,322.0
37,459,3162.0
38,459,1289.0
39,459,70.0
40,459,81.0
41,459,507.0
42,459,53.0
43,459,57.0
44,459,1627.0
45,459,819.0
46,459,588.0
47,459,788.0
48,459,6369.0
49,459,
50,459,445.0
51,459,0.09
52,459,100.0
53,459,236.0
54,459,246.0
55,459,82.0
56,459,357.0
57,459,2.0
58,459,85.0
59,459,3.71
60,459,528.0
61,459,55.0
62,459,618.0
63,459,139.0
64,459,0.0
65,459,465.0
66,459,95.0
