micro_id,product_id,weight
1,685,
2,685,1474.0
3,685,1301.0
4,685,2701.0
5,685,1253.0
6,685,161.0
7,685,9.4
8,685,5067.0
9,685,1054.0
10,685,1.5
11,685,11.0
12,685,147.0
13,685,1400.0
14,685,70590.0
15,685,0.0
16,685,1203.0
17,685,1032.0
18,685,3561.0
19,685,
20,685,1300.0
21,685,1130.0
22,685,50.0
23,685,252.0
24,685,20.0
25,685,5.0
26,685,
27,685,1769.0
28,685,2014.0
29,685,
30,685,
31,685,20.0
32,685,15.0
33,685,86.0
34,685,663.0
35,685,170.0
36,685,43.0
37,685,12770.0
38,685,0.0
39,685,57.0
40,685,1464.0
41,685,181.0
42,685,0.0
43,685,455.0
44,685,0.0
45,685,109.0
46,685,1645.0
47,685,811.0
48,685,0.0
49,685,
50,685,982.0
51,685,1.1
52,685,
53,685,982.0
54,685,1056.0
55,685,245.0
56,685,835.0
57,685,0.0
58,685,200.0
59,685,0.0
60,685,140.0
61,685,38.0
62,685,600.0
63,685,319.0
64,685,
65,685,1080.0
66,685,278.0
