micro_id,product_id,weight
1,530,
2,530,
3,530,
4,530,
5,530,
6,530,106.0
7,530,0.0
8,530,
9,530,
10,530,
11,530,237.0
12,530,246.0
13,530,0.0
14,530,1200.0
15,530,
16,530,
17,530,
18,530,
19,530,0.0
20,530,3800.0
21,530,
22,530,
23,530,850.0
24,530,70.0
25,530,0.0
26,530,0.0
27,530,
28,530,
29,530,0.0
30,530,
31,530,129.0
32,530,
33,530,1830.0
34,530,
35,530,9505.0
36,530,3.0
37,530,
38,530,
39,530,69.0
40,530,
41,530,
42,530,
43,530,804.0
44,530,11100.0
45,530,
46,530,32884.0
47,530,
48,530,
49,530,79.3
50,530,
51,530,
52,530,
53,530,
54,530,
55,530,
56,530,
57,530,2.7
58,530,1155.0
59,530,
60,530,
61,530,0.0
62,530,5290.0
63,530,
64,530,0.0
65,530,
66,530,0.0
