product_id,factor_id,nutrient_id,coefficient
177,6,27,1.0
177,2,27,1.0
177,5,27,1.0
216,5,27,1.0
220,5,27,1.0
216,8,27,1.0
220,8,27,1.0
178,2,27,0.95
178,6,27,0.95
174,3,27,1.0
178,8,27,0.9
174,2,27,1.0
172,3,27,1.0
92,6,27,0.7
109,8,27,0.95
92,3,27,1.0
256,6,27,1.0
424,6,27,1.0
419,6,27,1.0
424,2,27,1.0
424,3,27,0.95
424,7,27,1.0
424,8,27,1.0
152,6,27,0.95
152,2,27,1.0
152,5,27,0.95
152,3,27,1.0
30,3,27,0.95
30,7,27,1.0
30,8,27,1.0
456,6,27,0.1
12,6,27,0.1
29,6,27,0.1
16,6,27,0.1
77,6,27,0.1
94,6,27,0.1
22,6,27,0.1
287,6,27,0.1
181,6,27,0.1
19,6,27,0.9
456,3,27,0.9
12,3,27,0.9
29,3,27,0.9
16,3,27,0.9
77,3,27,0.9
94,3,27,0.9
287,3,27,0.9
371,6,27,0.9
294,6,27,0.9
455,6,27,0.9
93,6,27,0.9
146,6,27,0.9
11,6,27,0.9
106,6,27,0.9
371,3,27,0.9
294,3,27,0.9
455,3,27,0.9
93,3,27,0.9
146,3,27,0.9
11,3,27,0.9
106,3,27,0.9
181,5,27,1.0
22,5,27,1.0
192,6,27,1.0
450,6,27,1.0
350,6,27,1.0
355,6,27,1.0
433,6,27,1.0
189,6,27,1.0
341,6,27,1.0
135,6,27,1.0
132,6,27,1.0
380,6,27,1.0
28,6,27,1.0
160,6,27,1.0
161,6,27,1.0
45,6,27,1.0
44,6,27,1.0
381,6,27,1.0
150,6,27,1.0
149,6,27,1.0
47,6,27,1.0
82,6,27,1.0
154,6,27,1.0
413,6,27,1.0
231,6,27,1.0
436,6,27,1.0
454,6,27,1.0
376,6,27,1.0
416,6,27,1.0
184,6,27,1.0
191,6,27,1.0
192,5,27,0.95
450,5,27,0.95
350,5,27,0.95
355,5,27,0.95
433,5,27,0.95
189,5,27,0.95
341,5,27,0.95
135,5,27,0.95
132,5,27,0.95
380,5,27,0.95
28,5,27,0.95
160,5,27,0.95
161,5,27,0.95
45,5,27,0.95
44,5,27,0.95
381,5,27,0.95
150,5,27,0.95
149,5,27,0.95
82,5,27,0.95
154,5,27,0.95
413,5,27,0.95
231,5,27,0.95
436,5,27,0.95
454,5,27,0.95
376,5,27,0.95
416,5,27,1.0
191,5,27,1.0
192,2,27,1.0
450,2,27,1.0
350,2,27,1.0
355,2,27,1.0
433,2,27,1.0
341,2,27,1.0
135,2,27,1.0
132,2,27,1.0
380,2,27,1.0
28,2,27,1.0
161,2,27,1.0
45,2,27,1.0
381,2,27,1.0
150,2,27,1.0
154,2,27,1.0
413,2,27,1.0
231,2,27,1.0
436,2,27,1.0
454,2,27,1.0
376,2,27,1.0
82,5,27,1.0
149,5,27,1.0
44,5,27,1.0
160,5,27,1.0
82,8,27,1.0
149,8,27,1.0
44,8,27,1.0
160,8,27,1.0
192,4,27,1.0
450,4,27,1.0
350,4,27,1.0
355,4,27,1.0
433,4,27,1.0
341,4,27,1.0
135,4,27,1.0
132,4,27,1.0
380,4,27,1.0
28,4,27,1.0
161,4,27,1.0
45,4,27,1.0
381,4,27,1.0
150,4,27,1.0
154,4,27,1.0
413,4,27,1.0
231,4,27,1.0
436,4,27,1.0
454,4,27,1.0
376,4,27,1.0
136,6,27,1.0
136,5,27,1.0
136,2,27,1.0
136,4,27,0.95
411,6,27,1.0
411,7,27,1.0
594,6,27,1.0
595,6,27,1.0
596,6,27,1.0
597,6,27,1.0
279,6,27,1.0
87,6,27,1.0
352,6,27,1.0
594,7,27,1.0
595,7,27,1.0
596,7,27,1.0
597,7,27,1.0
279,7,27,1.0
87,7,27,1.0
352,7,27,1.0
383,6,27,1.0
383,7,27,1.0
383,2,27,1.0
383,5,27,1.0
585,5,27,0.8
585,6,27,1.0
585,3,27,1.0
214,3,27,1.0
214,7,27,1.0
214,5,27,1.0
80,5,27,0.35
420,5,27,0.7
420,6,27,0.65
451,5,27,0.55
257,5,27,0.6
406,3,27,0.95
406,2,27,0.9
406,2,27,0.75
406,8,27,0.9
319,6,27,1.0
319,4,27,1.0
328,6,27,1.0
198,6,27,1.0
198,5,27,0.9
198,6,27,0.9
591,5,27,0.9
90,6,27,1.0
89,8,27,0.95
159,8,27,0.95
162,8,27,0.95
205,8,27,0.95
262,8,27,0.95
285,8,27,0.95
317,8,27,0.95
461,8,27,0.95
561,8,27,0.95
562,8,27,0.95
89,5,27,0.95
159,5,27,0.95
162,5,27,0.95
205,5,27,0.95
262,5,27,0.95
285,5,27,0.95
317,5,27,0.95
461,5,27,0.95
561,5,27,0.95
562,5,27,0.95
