product_category_id,factor_id,micro_id,coefficient
12,5,8,1.0
12,8,8,1.0
15,6,8,1.05
15,5,8,1.1
15,2,8,1.05
15,8,8,1.1
15,4,8,1.05
16,6,8,1.9
16,3,8,1.1
17,5,8,1.35
17,6,8,1.4
18,6,8,1.1
18,3,8,1.1
18,5,8,1.05
19,6,8,1.05
19,7,8,1.05
22,8,8,1.0
22,5,8,1.0
22,6,8,1.1
22,4,8,1.1
23,6,8,1.1
23,5,8,1.35
29,2,8,1.2
29,6,8,1.2
29,3,8,1.05
29,8,8,1.4
29,7,8,1.1
29,5,8,1.45
30,6,8,1.05
30,7,8,1.05
30,2,8,1.0
30,5,8,1.15
30,3,8,1.0
32,6,8,1.1
32,2,8,1.05
32,5,8,1.05
47,6,8,1.0
