product_category_id,factor_id,micro_id,coefficient
12,5,12,1.0
12,8,12,1.0
15,6,12,1.05
15,5,12,1.05
15,2,12,1.05
15,8,12,1.05
15,4,12,1.05
16,6,12,1.95
16,3,12,1.1
17,5,12,1.3
17,6,12,1.35
18,6,12,1.05
18,3,12,1.1
18,5,12,1.05
19,6,12,1.05
19,7,12,1.05
22,8,12,1.15
22,5,12,1.1
22,6,12,1.1
22,4,12,1.1
23,6,12,1.1
23,5,12,1.25
29,2,12,1.1
29,6,12,1.1
29,3,12,1.0
29,8,12,1.05
29,7,12,1.0
29,5,12,1.15
30,6,12,1.05
30,7,12,1.05
30,2,12,1.05
30,5,12,1.1
30,3,12,1.0
32,6,12,1.05
32,2,12,1.05
32,5,12,1.05
47,6,12,1.0
