product_category_id,factor_id,micro_id,coefficient
12,5,66,1.0
12,8,66,1.0
15,6,66,1.05
15,5,66,1.05
15,2,66,1.1
15,8,66,1.05
15,4,66,1.1
16,6,66,1.85
16,3,66,1.25
17,5,66,1.15
17,6,66,1.2
18,6,66,1.15
18,3,66,1.25
18,5,66,1.05
19,6,66,1.05
19,7,66,1.05
22,8,66,1.1
22,5,66,1.05
22,6,66,1.1
22,4,66,1.1
23,6,66,1.05
23,5,66,1.05
29,2,66,1.25
29,6,66,1.25
29,3,66,1.2
29,8,66,1.25
29,7,66,1.2
29,5,66,1.25
30,6,66,1.1
30,7,66,1.1
30,2,66,1.1
30,5,66,1.2
30,3,66,1.1
32,6,66,1.0
32,2,66,1.0
32,5,66,1.0
47,6,66,1.0
