product_category_id,factor_id,micro_id,coefficient
12,5,11,1.15
12,8,11,1.2
15,6,11,1.25
15,5,11,1.35
15,2,11,1.15
15,8,11,1.45
15,4,11,1.2
16,6,11,1.6
16,3,11,1.5
17,5,11,1.55
17,6,11,1.6
18,6,11,1.4
18,3,11,1.5
18,5,11,1.3
19,6,11,1.2
19,7,11,1.2
22,8,11,1.4
22,5,11,1.3
22,6,11,1.3
22,4,11,1.3
23,6,11,1.3
23,5,11,1.3
29,2,11,1.4
29,6,11,1.4
29,3,11,1.3
29,8,11,1.4
29,7,11,1.3
29,5,11,1.65
30,6,11,1.1
30,7,11,1.1
30,2,11,1.1
30,5,11,1.2
30,3,11,1.1
32,6,11,1.25
32,2,11,1.25
32,5,11,1.25
47,6,11,1.2
