product_category_id,factor_id,micro_id,coefficient
12,5,13,1.15
12,8,13,1.35
15,6,13,1.3
15,5,13,1.4
15,2,13,1.05
15,8,13,1.4
15,4,13,1.25
16,6,13,1.8
16,3,13,1.3
17,5,13,1.65
17,6,13,1.4
18,6,13,1.2
18,3,13,1.3
18,5,13,1.05
19,6,13,1.2
19,7,13,1.2
22,8,13,1.3
22,5,13,1.2
22,6,13,1.2
22,4,13,1.2
23,6,13,1.2
23,5,13,1.3
29,2,13,1.2
29,6,13,1.2
29,3,13,1.15
29,8,13,1.2
29,7,13,1.15
29,5,13,1.2
30,6,13,1.2
30,7,13,1.2
30,2,13,1.2
30,5,13,1.25
30,3,13,1.2
32,6,13,1.2
32,2,13,1.2
32,5,13,1.2
47,6,13,1.35
