product_category_id,factor_id,micro_id,coefficient
12,5,6,1.1
12,8,6,1.25
15,6,6,1.1
15,5,6,1.15
15,2,6,1.1
15,8,6,1.1
15,4,6,1.1
16,6,6,1.8
16,3,6,1.2
17,5,6,1.4
17,6,6,1.45
18,6,6,1.2
18,3,6,1.2
18,5,6,1.05
19,6,6,1.15
19,7,6,1.15
22,8,6,1.25
22,5,6,1.2
22,6,6,1.2
22,4,6,1.2
23,6,6,1.2
23,5,6,1.35
29,2,6,1.3
29,6,6,1.3
29,3,6,1.25
29,8,6,1.45
29,7,6,1.4
29,5,6,1.55
30,6,6,1.1
30,7,6,1.1
30,2,6,1.1
30,5,6,1.2
30,3,6,1.05
32,6,6,1.2
32,2,6,1.15
32,5,6,1.15
47,6,6,1.25
