product_category_id,factor_id,micro_id,coefficient
12,5,43,1.1
12,8,43,1.25
15,6,43,1.05
15,5,43,1.1
15,2,43,1.05
15,8,43,1.1
15,4,43,1.05
16,6,43,1.95
16,3,43,1.1
17,5,43,1.35
17,6,43,1.4
18,6,43,1.05
18,3,43,1.1
18,5,43,1.05
19,6,43,1.05
19,7,43,1.05
22,8,43,1.1
22,5,43,1.05
22,6,43,1.1
22,4,43,1.1
23,6,43,1.1
23,5,43,1.2
29,2,43,1.2
29,6,43,1.2
29,3,43,1.35
29,8,43,1.5
29,7,43,1.5
29,5,43,1.65
30,6,43,1.1
30,7,43,1.1
30,2,43,1.1
30,5,43,1.2
30,3,43,1.1
32,6,43,1.05
32,2,43,1.05
32,5,43,1.05
47,6,43,1.25
