product_category_id,factor_id,micro_id,coefficient
12,5,58,1.0
12,8,58,1.0
15,6,58,1.0
15,5,58,1.1
15,2,58,1.0
15,8,58,1.0
15,4,58,1.0
16,6,58,2.0
16,3,58,1.0
17,5,58,1.15
17,6,58,1.15
18,6,58,1.0
18,3,58,1.0
18,5,58,1.0
19,6,58,1.0
19,7,58,1.0
22,8,58,1.05
22,5,58,1.05
22,6,58,1.0
22,4,58,1.0
23,6,58,1.0
23,5,58,1.15
29,2,58,1.2
29,6,58,1.2
29,3,58,1.0
29,8,58,1.3
29,7,58,1.0
29,5,58,1.35
30,6,58,1.0
30,7,58,1.0
30,2,58,1.0
30,5,58,1.0
30,3,58,1.0
32,6,58,1.0
32,2,58,1.0
32,5,58,1.0
47,6,58,1.0
