nutrient_id,product_id,weight
1,184,0.048924
2,184,2.658
3,184,0.216
4,184,4.428
5,184,216.0
6,184,523.0
7,184,0.0
8,184,2.148
9,184,329.0
10,184,0.084
11,184,0.18
12,184,1.76
13,184,0.18
14,184,0.12
15,184,0.0
16,184,89.0
17,184,0.0
18,184,95.4
19,184,2.55
20,184,487.0
21,184,107.0
22,184,26.0
23,184,52.0
24,184,94.0
25,184,2.186
26,184,0.438
27,184,86.0
28,184,0.454
29,184,2.0
30,184,0.0
31,184,0.022
32,184,2.873
33,184,0.638
34,184,1.912
35,184,139.0
36,184,195.0
37,184,182.0
38,184,14.0
39,184,13.0
40,184,158.0
41,184,82.0
42,184,121.0
43,184,57.0
44,184,195.0
45,184,111.0
46,184,65.0
47,184,1332.0
48,184,204.0
49,184,316.0
50,184,260.0
51,184,139.0
52,184,278.0
53,184,130.0
54,184,0.028
55,184,0.018
56,184,0.078
57,184,0.0
58,184,0.0
59,184,0.124
60,184,0.078
61,184,0.046
62,184,0.0
63,184,4.43
64,184,0.37
65,184,0.056
66,184,
67,184,
68,184,
69,184,
70,184,
