nutrient_id,product_id,weight
1,437,0.08794
2,437,2.39
3,437,0.24
4,437,5.09
5,437,200.0
6,437,54.0
7,437,0.0
8,437,0.103
9,437,36.0
10,437,0.076
11,437,0.111
12,437,1.07
13,437,0.5
14,437,0.264
15,437,7.0
16,437,56.0
17,437,0.0
18,437,18.94
19,437,1.89
20,437,226.0
21,437,64.0
22,437,22.0
23,437,36.0
24,437,13.0
25,437,0.74
26,437,0.304
27,437,80.0
28,437,0.222
29,437,3.0
30,437,0.339
31,437,0.002
32,437,2.171
33,437,0.88
34,437,1.01
35,437,123.0
36,437,156.0
37,437,156.0
38,437,38.0
39,437,27.0
40,437,81.0
41,437,56.0
42,437,104.0
43,437,30.0
44,437,145.0
45,437,111.0
46,437,55.0
47,437,1082.0
48,437,143.0
49,437,390.0
50,437,348.0
51,437,124.0
52,437,130.0
53,437,175.0
54,437,0.07
55,437,0.008
56,437,0.061
57,437,0.0
58,437,0.0
59,437,0.114
60,437,0.061
61,437,0.053
62,437,0.0
63,437,1.63
64,437,0.42
65,437,0.005
66,437,
67,437,
68,437,
69,437,
70,437,
