nutrient_id,product_id,weight
1,167,6560.0
2,167,5.0
3,167,3.581
4,167,79.82900000000001
5,167,0.0
6,167,24.0
7,167,0.0
8,167,0.445
9,167,2.0
10,167,0.039
11,167,0.039
12,167,1.359
13,167,0.11
14,167,0.045
15,167,1.3
16,167,4.0
17,167,0.0
18,167,0.0
19,167,2.596
20,167,79.0
21,167,10.0
22,167,10.0
23,167,39.0
24,167,1491.0
25,167,1.384
26,167,0.176
27,167,135.0
28,167,0.036
29,167,0.8
30,167,28.456
31,167,0.8300000000000001
32,167,31.428
33,167,0.779
34,167,1.817
35,167,182.0
36,167,685.0
37,167,100.0
38,167,94.0
39,167,89.0
40,167,237.0
41,167,149.0
42,167,177.0
43,167,27.0
44,167,243.0
45,167,133.0
46,167,133.0
47,167,2249.0
48,167,442.0
49,167,298.0
50,167,1028.0
51,167,188.0
52,167,536.0
53,167,260.0
54,167,0.515
55,167,2.434
56,167,0.033
57,167,0.0
58,167,0.0
59,167,0.436
60,167,0.033
61,167,0.403
62,167,0.0
63,167,0.85
64,167,6.65
65,167,2.111
66,167,
67,167,
68,167,
69,167,
70,167,
