nutrient_id,product_id,weight
1,319,13589.0
2,319,10.04
3,319,0.98
4,319,72.34100000000001
5,319,0.0
6,319,0.0
7,319,0.0
8,319,0.176
9,319,0.0
10,319,0.104
11,319,0.013
12,319,2.467
13,319,0.21
14,319,0.041
15,319,2.0
16,319,10.0
17,319,0.0
18,319,0.0
19,319,2.75
20,319,168.0
21,319,5.0
22,319,14.0
23,319,62.0
24,319,50.0
25,319,0.5670000000000001
26,319,0.512
27,319,106.0
28,319,0.395
29,319,7.4
30,319,0.342
31,319,0.001
32,319,0.735
33,319,1.7
34,319,2.3
35,319,404.0
36,319,721.0
37,319,211.0
38,319,149.0
39,319,211.0
40,319,484.0
41,319,281.0
42,319,281.0
43,319,106.0
44,319,431.0
45,319,378.0
46,319,193.0
47,319,3850.0
48,319,325.0
49,319,422.0
50,319,3218.0
51,319,369.0
52,319,1275.0
53,319,580.0
54,319,0.143
55,319,0.115
56,319,0.028
57,319,0.0
58,319,0.0
59,319,0.448
60,319,0.028
61,319,0.42
62,319,0.0
63,319,3.13
64,319,6.03
65,319,0.003
66,319,
67,319,
68,319,
69,319,
70,319,
