nutrient_id,product_id,weight
1,657,
2,657,
3,657,
4,657,
5,657,
6,657,340.0
7,657,
8,657,3000.0
9,657,
10,657,
11,657,
12,657,190.0
13,657,25000.0
14,657,80000.0
15,657,
16,657,
17,657,
18,657,
19,657,
20,657,700.0
21,657,200.0
22,657,
23,657,
24,657,285.0
25,657,26.0
26,657,
27,657,
28,657,
29,657,
30,657,
31,657,
32,657,38.0
33,657,
34,657,
35,657,
36,657,
37,657,0.0
38,657,2.0
39,657,
40,657,
41,657,
42,657,
43,657,
44,657,100.0
45,657,
46,657,4900.0
47,657,
48,657,
49,657,
50,657,4000.0
51,657,
52,657,
53,657,
54,657,
55,657,
56,657,
57,657,
58,657,8300.0
59,657,
60,657,
61,657,122.0
62,657,
63,657,
64,657,0.0
65,657,
66,657,
67,657,
68,657,200.0
69,657,67.0
70,657,5000.0
