nutrient_id,product_id,weight
1,486,87000.0
2,486,3.4
3,486,2.5
4,486,5.5
5,486,900.0
6,486,22.0
7,486,
8,486,0.0
9,486,
10,486,0.24
11,486,0.2
12,486,0.9
13,486,
14,486,
15,486,
16,486,
17,486,
18,486,0.7000000000000001
19,486,0.0
20,486,129.0
21,486,108.0
22,486,16.0
23,486,94.0
24,486,
25,486,0.1
26,486,
27,486,
28,486,
29,486,
30,486,
31,486,0.035
32,486,5.5
33,486,
34,486,
35,486,
36,486,
37,486,
38,486,
39,486,
40,486,
41,486,
42,486,
43,486,
44,486,
45,486,
46,486,
47,486,
48,486,
49,486,
50,486,
51,486,
52,486,
53,486,
54,486,1.5
55,486,
56,486,
57,486,
58,486,
59,486,
60,486,
61,486,
62,486,0.008
63,486,
64,486,
65,486,
66,486,
67,486,
68,486,
69,486,
70,486,
