nutrient_id,product_id,weight
1,204,31502.0
2,204,0.258
3,204,0.111
4,204,66.753
5,204,442.0
6,204,4.0
7,204,0.0
8,204,0.059
9,204,1.0
10,204,0.007
11,204,0.003
12,204,0.039
13,204,0.022
14,204,0.002
15,204,0.0
16,204,0.0
17,204,0.0
18,204,1.105
19,204,0.626
20,204,57.0
21,204,13.0
22,204,4.0
23,204,8.0
24,204,3.0
25,204,0.294
26,204,0.031
27,204,30.0
28,204,0.02
29,204,0.3
30,204,65.648
31,204,0.0
32,204,66.753
33,204,0.247
34,204,0.379
35,204,9.0
36,204,9.0
37,204,16.0
38,204,5.0
39,204,4.0
40,204,11.0
41,204,6.0
42,204,5.0
43,204,1.0
44,204,12.0
45,204,19.0
46,204,5.0
47,204,102.0
48,204,19.0
49,204,42.0
50,204,39.0
51,204,31.0
52,204,17.0
53,204,8.0
54,204,0.023
55,204,0.021
56,204,0.013
57,204,0.0
58,204,0.0
59,204,0.045
60,204,0.013
61,204,0.032
62,204,0.0
63,204,1.96
64,204,5.56
65,204,0.0
66,204,
67,204,
68,204,
69,204,
70,204,
