nutrient_id,product_id,weight
1,159,0.011481
2,159,10.399
3,159,1.36
4,159,70.96000000000001
5,159,0.0
6,159,0.0
7,159,0.0
8,159,0.08
9,159,1.0
10,159,0.092
11,159,0.08
12,159,5.167
13,159,0.5
14,159,0.22
15,159,4.0
16,159,20.0
17,159,0.0
18,159,0.0
19,159,4.600000000000001
20,159,270.0
21,159,18.0
22,159,65.0
23,159,210.0
24,159,110.0
25,159,3.0
26,159,2.1
27,159,400.0
28,159,1.3
29,159,1.0
30,159,1.206
31,159,0.005
32,159,2.2
33,159,1.94
34,159,2.69
35,159,425.0
36,159,684.0
37,159,332.0
38,159,145.0
39,159,207.0
40,159,508.0
41,159,353.0
42,159,332.0
43,159,124.0
44,159,498.0
45,159,508.0
46,159,187.0
47,159,4303.0
48,159,484.0
49,159,638.0
50,159,2696.0
51,159,418.0
52,159,1309.0
53,159,550.0
54,159,0.251
55,159,0.122
56,159,0.054
57,159,0.0
58,159,0.0
59,159,0.606
60,159,0.054
61,159,0.552
62,159,0.0
63,159,2.41
64,159,5.91
65,159,0.013
66,159,
67,159,
68,159,
69,159,
70,159,
