nutrient_id,product_id,weight
1,317,
2,317,378.0
3,317,441.0
4,317,529.0
5,317,529.0
6,317,90.0
7,317,0.0
8,317,4100.0
9,317,300.0
10,317,1.0
11,317,31.0
12,317,60.0
13,317,0.0
14,317,10000.0
15,317,1836.0
16,317,227.0
17,317,466.0
18,317,4292.0
19,317,0.0
20,317,1500.0
21,317,1200.0
22,317,478.0
23,317,0.6
24,317,200.0
25,317,22.0
26,317,0.0
27,317,
28,317,881.0
29,317,240.0
30,317,
31,317,
32,317,56.0
33,317,860.0
34,317,300.0
35,317,176.0
36,317,139.0
37,317,176.0
38,317,5.0
39,317,4646.0
40,317,3264.0
41,317,35.0
42,317,35.0
43,317,514.0
44,317,0.0
45,317,170.0
46,317,5100.0
47,317,13.0
48,317,549.0
49,317,1535.0
50,317,422.0
51,317,282.0
52,317,
53,317,654.0
54,317,3.12
55,317,327.0
56,317,340.0
57,317,126.0
58,317,70450.0
59,317,604.0
60,317,0.0
61,317,165.0
62,317,5.87
63,317,22.0
64,317,0.0
65,317,1500.0
66,317,277.0
67,317,0.0
68,317,200.0
69,317,0.0
70,317,12500.0
