nutrient_id,product_id,weight
1,361,0.069
2,361,4.334000000000001
3,361,0.713
4,361,21.813
5,361,0.0
6,361,0.0
7,361,0.0
8,361,0.603
9,361,11.0
10,361,0.089
11,361,0.048
12,361,2.247
13,361,0.339
14,361,0.08700000000000001
15,361,2.3
16,361,13.0
17,361,0.0
18,361,0.0
19,361,3.295
20,361,118.0
21,361,10.0
22,361,49.0
23,361,125.0
24,361,14.0
25,361,1.886
26,361,1.229
27,361,175.0
28,361,1.329
29,361,0.9
30,361,0.222
31,361,0.001
32,361,0.268
33,361,1.239
34,361,2.797
35,361,173.0
36,361,287.0
37,361,117.0
38,361,70.0
39,361,84.0
40,361,197.0
41,361,124.0
42,361,130.0
43,361,50.0
44,361,200.0
45,361,200.0
46,361,84.0
47,361,1716.0
48,361,163.0
49,361,220.0
50,361,1252.0
51,361,211.0
52,361,524.0
53,361,247.0
54,361,0.104
55,361,0.083
56,361,0.02
57,361,0.0
58,361,0.0
59,361,0.326
60,361,0.02
61,361,0.306
62,361,0.0
63,361,3.13
64,361,1.82
65,361,0.003
66,361,
67,361,
68,361,
69,361,
70,361,
