nutrient_id,product_id,weight
1,161,27169.0
2,161,1.181
3,161,0.443
4,161,5.659
5,161,180.0
6,161,2.0
7,161,0.0
8,161,0.014
9,161,1.0
10,161,0.054
11,161,0.043
12,161,0.712
13,161,0.32
14,161,0.079
15,161,1.4
16,161,15.0
17,161,0.0
18,161,4.32
19,161,1.008
20,161,104.0
21,161,1.0
22,161,10.0
23,161,30.0
24,161,3.0
25,161,0.145
26,161,0.203
27,161,16.0
28,161,0.058
29,161,1.2
30,161,0.761
31,161,0.0
32,161,1.207
33,161,0.252
34,161,0.756
35,161,46.0
36,161,123.0
37,161,46.0
38,161,20.0
39,161,9.0
40,161,70.0
41,161,44.0
42,161,46.0
43,161,6.0
44,161,77.0
45,161,57.0
46,161,30.0
47,161,574.0
48,161,93.0
49,161,82.0
50,161,231.0
51,161,43.0
52,161,104.0
53,161,55.0
54,161,0.061
55,161,0.112
56,161,0.005
57,161,0.0
58,161,0.0
59,161,0.181
60,161,0.005
61,161,0.176
62,161,0.0
63,161,2.97
64,161,0.47
65,161,0.0
66,161,
67,161,
68,161,
69,161,
70,161,
