nutrient_id,product_id,weight
1,436,0.079472
2,436,1.726
3,436,0.244
4,436,1.917
5,436,213.0
6,436,26.0
7,436,0.0
8,436,0.425
9,436,9.0
10,436,0.179
11,436,0.062
12,436,0.773
13,436,0.068
14,436,0.101
15,436,1.7
16,436,8.0
17,436,0.0
18,436,14.96
19,436,0.935
20,436,150.0
21,436,21.0
22,436,15.0
23,436,24.0
24,436,21.0
25,436,0.866
26,436,0.211
27,436,38.0
28,436,0.106
29,436,2.0
30,436,0.07100000000000001
31,436,0.003
32,436,1.584
33,436,0.221
34,436,0.6970000000000001
35,436,84.0
36,436,122.0
37,436,113.0
38,436,26.0
39,436,18.0
40,436,71.0
41,436,58.0
42,436,55.0
43,436,26.0
44,436,86.0
45,436,93.0
46,436,38.0
47,436,790.0
48,436,99.0
49,436,266.0
50,436,341.0
51,436,71.0
52,436,65.0
53,436,95.0
54,436,0.058
55,436,0.022
56,436,0.073
57,436,0.0
58,436,0.0
59,436,0.117
60,436,0.073
61,436,0.044
62,436,0.0
63,436,2.02
64,436,0.16
65,436,0.008
66,436,
67,436,
68,436,
69,436,
70,436,
