nutrient_id,product_id,weight
1,459,85293.0
2,459,0.316
3,459,0.041
4,459,13.357
5,459,476.0
6,459,5.0
7,459,0.0
8,459,0.507
9,459,6.0
10,459,0.009000000000000001
11,459,0.007
12,459,0.299
13,459,0.083
14,459,0.036
15,459,4.0
16,459,3.0
17,459,0.0
18,459,7.446
19,459,0.0
20,459,105.0
21,459,6.0
22,459,5.0
23,459,11.0
24,459,2.0
25,459,0.244
26,459,0.044
27,459,54.0
28,459,0.044
29,459,1.0
30,459,3.026
31,459,0.001
32,459,12.251
33,459,0.0
34,459,0.0
35,459,12.0
36,459,19.0
37,459,18.0
38,459,4.0
39,459,1.0
40,459,10.0
41,459,6.0
42,459,9.0
43,459,3.0
44,459,14.0
45,459,9.0
46,459,8.0
47,459,113.0
48,459,18.0
49,459,120.0
50,459,30.0
51,459,10.0
52,459,12.0
53,459,14.0
54,459,0.017
55,459,0.002
56,459,0.004
57,459,0.0
58,459,0.002
59,459,0.021
60,459,0.006
61,459,0.015
62,459,0.0
63,459,1.24
64,459,1.11
65,459,0.003
66,459,
67,459,
68,459,
69,459,
70,459,
