nutrient_id,product_id,weight
1,96,63799.0
2,96,2.5
3,96,30.001
4,96,2.4
5,96,800.0
6,96,360.0
7,96,0.6
8,96,0.9
9,96,0.0
10,96,0.03
11,96,0.15
12,96,0.64
13,96,0.34
14,96,0.03
15,96,3.3
16,96,10.0
17,96,0.4
18,96,1.0
19,96,0.0
20,96,100.0
21,96,80.0
22,96,9.0
23,96,60.0
24,96,50.0
25,96,0.11
26,96,0.32
27,96,18.0
28,96,0.003
29,96,9.0
30,96,0.0
31,96,0.03
32,96,2.4
33,96,0.0
34,96,0.0
35,96,143.0
36,96,236.0
37,96,179.0
38,96,58.0
39,96,20.0
40,96,115.0
41,96,115.0
42,96,103.0
43,96,33.0
44,96,155.0
45,96,83.0
46,96,60.0
47,96,1300.0
48,96,83.0
49,96,186.0
50,96,510.0
51,96,53.0
52,96,236.0
53,96,130.0
54,96,18.201
55,96,9.044
56,96,0.397
57,96,0.0
58,96,0.0
59,96,1.106
60,96,0.397
61,96,0.709
62,96,0.09
63,96,0.06
64,96,0.2
65,96,0.076
66,96,
67,96,
68,96,
69,96,
70,96,
