nutrient_id,product_id,weight
1,135,0.070455
2,135,1.073
3,135,0.148
4,135,3.259
5,135,179.0
6,135,9.0
7,135,0.0
8,135,1.326
9,135,94.0
10,135,0.034
11,135,0.037
12,135,0.433
13,135,0.203
14,135,0.148
15,135,2.3
16,135,21.0
17,135,0.0
18,135,40.17
19,135,2.34
20,135,210.0
21,135,35.0
22,135,10.0
23,135,28.0
24,135,29.0
25,135,0.292
26,135,0.122
27,135,26.0
28,135,0.156
29,135,2.3
30,135,0.261
31,135,0.009000000000000001
32,135,3.131
33,135,1.04
34,135,1.263
35,135,31.0
36,135,46.0
37,135,53.0
38,135,10.0
39,135,22.0
40,135,24.0
41,135,21.0
42,135,31.0
43,135,11.0
44,135,34.0
45,135,81.0
46,135,21.0
47,135,385.0
48,135,46.0
49,135,97.0
50,135,239.0
51,135,28.0
52,135,215.0
53,135,62.0
54,135,0.025
55,135,0.004
56,135,0.068
57,135,0.0
58,135,0.0
59,135,0.089
60,135,0.068
61,135,0.021
62,135,0.0
63,135,3.56
64,135,0.27
65,135,0.023
66,135,
67,135,
68,135,
69,135,
70,135,
