nutrient_id,product_id,weight
1,552,0.0891
2,552,2.1
3,552,1.9
4,552,5.0
5,552,1400.0
6,552,32.0
7,552,
8,552,0.1
9,552,
10,552,0.02
11,552,0.04
12,552,0.6
13,552,
14,552,
15,552,
16,552,
17,552,
18,552,9.0
19,552,0.0
20,552,77.0
21,552,94.0
22,552,25.0
23,552,60.0
24,552,
25,552,0.1
26,552,
27,552,
28,552,
29,552,
30,552,
31,552,0.034
32,552,5.0
33,552,
34,552,
35,552,
36,552,
37,552,
38,552,
39,552,
40,552,
41,552,
42,552,
43,552,
44,552,
45,552,
46,552,
47,552,
48,552,
49,552,
50,552,
51,552,
52,552,
53,552,
54,552,0.7000000000000001
55,552,
56,552,
57,552,
58,552,
59,552,
60,552,
61,552,
62,552,0.005
63,552,
64,552,
65,552,
66,552,
67,552,
68,552,
69,552,
70,552,
