nutrient_id,product_id,weight
1,157,
2,157,1178.0
3,157,1820.0
4,157,1811.0
5,157,1108.0
6,157,110.0
7,157,3.0
8,157,6633.0
9,157,600.0
10,157,2.6
11,157,8.0
12,157,150.0
13,157,0.0
14,157,75350.0
15,157,0.0
16,157,885.0
17,157,939.0
18,157,2662.0
19,157,0.0
20,157,4900.0
21,157,2670.0
22,157,1068.0
23,157,1.0
24,157,400.0
25,157,9.0
26,157,0.3
27,157,
28,157,1637.0
29,157,1597.0
30,157,
31,157,
32,157,27.0
33,157,24.0
34,157,210.0
35,157,1302.0
36,157,1059.0
37,157,910.0
38,157,44.0
39,157,12221.0
40,157,0.0
41,157,247.0
42,157,252.0
43,157,276.0
44,157,0.0
45,157,500.0
46,157,0.0
47,157,15.0
48,157,528.0
49,157,873.0
50,157,0.0
51,157,0.0
52,157,
53,157,916.0
54,157,0.58
55,157,764.0
56,157,925.0
57,157,122.0
58,157,400.0
59,157,732.0
60,157,0.0
61,157,216.0
62,157,0.03
63,157,9.0
64,157,52.0
65,157,4900.0
66,157,261.0
67,157,5.0
68,157,230.0
69,157,21.0
70,157,20600.0
