nutrient_id,product_id,weight
1,464,
2,464,1341.0
3,464,1406.0
4,464,2055.0
5,464,1233.0
6,464,140.0
7,464,1.2
8,464,10367.0
9,464,850.0
10,464,0.0
11,464,5.0
12,464,270.0
13,464,0.0
14,464,76700.0
15,464,0.0
16,464,736.0
17,464,952.0
18,464,3461.0
19,464,0.0
20,464,2000.0
21,464,1010.0
22,464,1125.0
23,464,2.8
24,464,395.0
25,464,12.0
26,464,0.0
27,464,
28,464,1752.0
29,464,1882.0
30,464,
31,464,
32,464,15.0
33,464,30.0
34,464,250.0
35,464,541.0
36,464,329.0
37,464,365.0
38,464,87.0
39,464,11726.0
40,464,0.0
41,464,8.0
42,464,9.0
43,464,78.0
44,464,0.0
45,464,400.0
46,464,0.0
47,464,124.0
48,464,87.0
49,464,887.0
50,464,0.0
51,464,0.0
52,464,
53,464,779.0
54,464,0.24
55,464,736.0
56,464,952.0
57,464,238.0
58,464,0.0
59,464,887.0
60,464,0.0
61,464,204.0
62,464,0.0
63,464,75.0
64,464,63.0
65,464,4060.0
66,464,238.0
67,464,1.0
68,464,260.0
69,464,0.0
70,464,21200.0
