product_id,factor_id,coefficient
79,7,0.65
424,7,0.63
406,7,0.63
419,7,0.78
152,7,0.63
31,7,0.63
30,7,0.63
178,7,0.6
174,7,0.88
172,7,0.88
173,7,0.64
425,7,0.72
109,7,0.73
256,7,0.73
92,7,0.73
177,7,0.87
175,7,0.87
349,7,
585,7,0.8
586,7,0.85
587,7,
214,7,0.85
589,7,0.8
134,7,0.8
334,7,0.8
335,7,0.8
427,7,0.8
588,7,0.8
382,7,0.82
383,7,0.82
273,7,0.8
386,7,
387,7,
373,7,
402,7,
372,7,
405,7,
358,7,
393,7,
297,7,
298,7,
299,7,
300,7,
233,7,
423,7,
390,7,
552,7,
206,7,
179,7,
141,7,
590,7,-
35,7,
461,7,-
329,7,
205,7,-
561,7,-
262,7,-
268,7,-
48,7,-
194,7,-
591,7,-
330,7,-
197,7,-
198,7,-
282,7,-
283,7,-
162,7,-
323,7,
89,7,
317,7,
192,7,0.5
136,7,0.69
451,7,-
420,7,-
450,7,0.6
142,7,0.75
350,7,0.65
355,7,0.78
433,7,0.75
189,7,0.5
341,7,0.62
135,7,0.75
132,7,0.65
411,7,0.63
380,7,0.88
28,7,0.73
153,7,
272,7,-
160,7,-
161,7,-
354,7,0.78
45,7,
44,7,
381,7,0.88
150,7,1.0
149,7,1.0
326,7,-
191,7,-
47,7,0.99
82,7,0.92
154,7,0.75
188,7,-
327,7,-
336,7,-
413,7,0.78
284,7,0.78
231,7,0.68
436,7,0.65
454,7,0.5
80,7,
257,7,2.9
416,7,
184,7,
376,7,-
379,7,0.73
84,7,0.92
584,7,-
269,7,-
271,7,-
408,7,0.65
409,7,0.65
456,7,-
12,7,-
16,7,-
29,7,-
144,7,-
20,7,-
356,7,-
375,7,-
77,7,-
94,7,-
22,7,-
287,7,
438,7,-
85,7,
86,7,-
357,7,-
181,7,-
432,7,
211,7,
371,7,
294,7,
455,7,
93,7,
11,7,1.8
106,7,
594,7,0.94
595,7,0.94
596,7,0.94
597,7,0.94
87,7,-
102,7,
448,7,0.78
4,7,0.78
428,7,0.78
7,7,-
5,7,-
38,7,0.82
444,7,0.78
36,7,0.82
37,7,0.82
280,7,
429,7,
430,7,
263,7,-
90,7,-
163,7,-
331,7,-
33,7,-
155,7,
166,7,
168,7,-
237,7,
239,7,-
240,7,-
319,7,
320,7,-
328,7,-
332,7,-
434,7,-
577,7,
578,7,
363,7,-
201,7,-
72,7,-
70,7,-
