product_id,factor_id,coefficient
79,4,0.62
424,4,0.62
406,4,0.64
419,4,0.78
152,4,0.63
31,4,0.64
30,4,0.64
178,4,0.75
174,4,0.88
172,4,0.88
173,4,0.75
425,4,0.72
109,4,0.75
256,4,0.75
92,4,0.77
177,4,0.88
175,4,0.88
349,4,0.66
585,4,0.8
586,4,0.85
587,4,
214,4,0.82
589,4,0.82
134,4,0.82
334,4,0.8
335,4,0.8
427,4,0.82
588,4,0.82
382,4,0.82
383,4,0.82
273,4,0.8
386,4,6.3
387,4,1.6
373,4,
402,4,
372,4,
405,4,
358,4,
393,4,
297,4,
298,4,
299,4,
300,4,
233,4,
423,4,
390,4,
552,4,
206,4,
179,4,
141,4,
590,4,2.8
35,4,2.45
461,4,-
329,4,2.45
205,4,-
561,4,-
262,4,-
268,4,-
48,4,-
194,4,2.85
591,4,-
330,4,-
197,4,2.85
198,4,2.85
282,4,2.85
283,4,2.85
162,4,-
323,4,
89,4,
317,4,
192,4,0.87
136,4,0.94
451,4,2.41
420,4,2.2
450,4,0.6
142,4,0.85
350,4,0.65
355,4,0.78
433,4,0.85
189,4,0.5
341,4,0.92
135,4,0.92
132,4,0.78
411,4,0.63
380,4,0.88
28,4,0.93
153,4,
272,4,0.88
160,4,1.01
161,4,1.01
354,4,0.78
45,4,0.94
44,4,0.94
381,4,0.88
150,4,0.92
149,4,0.92
326,4,-
191,4,-
47,4,0.99
82,4,0.87
154,4,0.92
188,4,-
327,4,-
336,4,-
413,4,0.83
284,4,0.78
231,4,
436,4,0.78
454,4,0.5
80,4,
257,4,2.9
416,4,
184,4,
376,4,-
379,4,0.95
84,4,0.87
584,4,1.01
269,4,0.88
271,4,0.88
408,4,-
409,4,-
456,4,-
12,4,-
16,4,-
29,4,-
144,4,-
20,4,-
356,4,-
375,4,-
77,4,0.38
94,4,-
22,4,-
287,4,
438,4,0.38
85,4,
86,4,-
357,4,0.9
181,4,-
432,4,
211,4,
371,4,
294,4,
455,4,1.5
93,4,1.5
11,4,
106,4,1.6
594,4,
595,4,-
596,4,-
597,4,
87,4,-
102,4,
448,4,-
4,4,-
428,4,-
7,4,-
5,4,-
38,4,
444,4,-
36,4,-
37,4,-
280,4,1.1
429,4,
430,4,
263,4,4.0
90,4,2.1
163,4,1.55
331,4,1.6
33,4,1.3
155,4,1.28
166,4,1.5
168,4,1.28
237,4,2.3
239,4,1.5
240,4,1.5
319,4,1.5
320,4,1.62
328,4,-
332,4,1.28
434,4,1.55
577,4,0.5
578,4,0.5
363,4,0.9
201,4,0.9
72,4,0.9
70,4,0.9
