product_id,factor_id,coefficient
79,6,0.78
424,6,0.78
406,6,0.78
419,6,0.78
152,6,0.75
31,6,0.78
30,6,0.78
178,6,0.75
174,6,0.88
172,6,0.88
173,6,0.69
425,6,0.72
109,6,0.75
256,6,0.75
92,6,0.8
177,6,0.83
175,6,0.83
349,6,
585,6,0.82
586,6,0.85
587,6,
214,6,0.82
589,6,0.82
134,6,0.8
334,6,0.8
335,6,0.8
427,6,0.82
588,6,0.82
382,6,0.82
383,6,0.82
273,6,0.8
386,6,
387,6,
373,6,0.7
402,6,0.88
372,6,0.7
405,6,0.88
358,6,
393,6,0.85
297,6,0.85
298,6,0.85
299,6,0.85
300,6,0.85
233,6,0.85
423,6,0.85
390,6,0.85
552,6,0.85
206,6,0.95
179,6,
141,6,
590,6,-
35,6,-
461,6,-
329,6,-
205,6,-
561,6,-
262,6,-
268,6,-
48,6,-
194,6,-
591,6,-
330,6,-
197,6,-
198,6,-
282,6,-
283,6,-
162,6,3.5
323,6,
89,6,
317,6,
192,6,0.74
136,6,0.8
451,6,-
420,6,-
450,6,0.6
142,6,0.85
350,6,0.65
355,6,0.78
433,6,0.85
189,6,0.5
341,6,0.92
135,6,0.85
132,6,0.78
411,6,0.63
380,6,0.88
28,6,0.73
153,6,
272,6,-
160,6,1.01
161,6,1.01
354,6,0.78
45,6,0.94
44,6,0.94
381,6,0.88
150,6,1.0
149,6,1.0
326,6,-
191,6,-
47,6,0.9
82,6,0.92
154,6,0.85
188,6,-
327,6,-
336,6,-
413,6,0.83
284,6,0.78
231,6,0.85
436,6,0.78
454,6,0.5
80,6,
257,6,2.9
416,6,
184,6,
376,6,-
379,6,0.73
84,6,0.92
584,6,1.01
269,6,-
271,6,-
408,6,
409,6,
456,6,0.8
12,6,-
16,6,-
29,6,0.81
144,6,-
20,6,-
356,6,-
375,6,-
77,6,-
94,6,-
22,6,-
287,6,
438,6,-
85,6,
86,6,-
357,6,0.9
181,6,-
432,6,
211,6,
371,6,
294,6,
455,6,1.5
93,6,1.5
11,6,
106,6,1.6
594,6,
595,6,-
596,6,-
597,6,
87,6,-
102,6,1.3
448,6,-
4,6,-
428,6,-
7,6,0.57
5,6,0.57
38,6,
444,6,-
36,6,-
37,6,-
280,6,1.1
429,6,
430,6,
263,6,4.0
90,6,2.1
163,6,1.55
331,6,1.6
33,6,1.3
155,6,1.28
166,6,
168,6,1.28
237,6,2.3
239,6,-
240,6,-
319,6,1.5
320,6,1.62
328,6,1.7
332,6,1.28
434,6,1.55
577,6,0.5
578,6,0.5
363,6,0.9
201,6,0.9
72,6,0.9
70,6,0.9
