product_id,factor_id,coefficient
79,9,
424,9,
406,9,
419,9,
152,9,
31,9,
30,9,
178,9,
174,9,
172,9,
173,9,
425,9,
109,9,
256,9,
92,9,
177,9,
175,9,
349,9,
585,9,
586,9,
587,9,
214,9,
589,9,
134,9,
334,9,
335,9,
427,9,
588,9,
382,9,
383,9,
273,9,
386,9,
387,9,
373,9,
402,9,
372,9,
405,9,
358,9,
393,9,
297,9,
298,9,
299,9,
300,9,
233,9,
423,9,
390,9,
552,9,
206,9,
179,9,
141,9,
590,9,
35,9,
461,9,
329,9,
205,9,
561,9,
262,9,
268,9,
48,9,
194,9,
591,9,
330,9,
197,9,
198,9,
282,9,
283,9,
162,9,
323,9,
89,9,
317,9,
192,9,
136,9,
451,9,
420,9,
450,9,
142,9,
350,9,
355,9,
433,9,
189,9,
341,9,
135,9,
132,9,
411,9,
380,9,
28,9,
153,9,
272,9,
160,9,
161,9,
354,9,0.96
45,9,
44,9,
381,9,
150,9,
149,9,
326,9,
191,9,
47,9,
82,9,
154,9,
188,9,
327,9,
336,9,
413,9,
284,9,0.96
231,9,
436,9,
454,9,
80,9,
257,9,
416,9,
184,9,
376,9,
379,9,
84,9,
584,9,
269,9,
271,9,
408,9,
409,9,
456,9,
12,9,
16,9,
29,9,
144,9,
20,9,
356,9,
375,9,
77,9,
94,9,
22,9,
287,9,
438,9,
85,9,
86,9,
357,9,
181,9,
432,9,
211,9,
371,9,
294,9,
455,9,
93,9,
11,9,
106,9,
594,9,
595,9,
596,9,
597,9,
87,9,
102,9,
448,9,
4,9,
428,9,
7,9,
5,9,
38,9,
444,9,
36,9,
37,9,
280,9,
429,9,
430,9,
263,9,
90,9,
163,9,
331,9,
33,9,
155,9,
166,9,
168,9,
237,9,
239,9,
240,9,
319,9,
320,9,
328,9,
332,9,
434,9,
577,9,
578,9,
363,9,
201,9,
72,9,
70,9,
