micro_id,product_id,weight
1,268,
2,268,319.0
3,268,391.0
4,268,734.0
5,268,709.0
6,268,30.0
7,268,1.0
8,268,2666.0
9,268,673.0
10,268,6.0
11,268,30.0
12,268,287.0
13,268,1.0
14,268,77087.0
15,268,0.0
16,268,343.0
17,268,189.0
18,268,2472.0
19,268,0.0
20,268,99.0
21,268,639.0
22,268,10.0
23,268,119.0
24,268,98.0
25,268,0.0
26,268,
27,268,1124.0
28,268,887.0
29,268,
30,268,
31,268,11.0
32,268,7.0
33,268,16.0
34,268,272.0
35,268,1808.0
36,268,40.0
37,268,6151.0
38,268,0.0
39,268,80.0
40,268,80.0
41,268,142.0
42,268,791.0
43,268,59.0
44,268,0.0
45,268,97.0
46,268,222.0
47,268,1289.0
48,268,0.0
49,268,
50,268,615.0
51,268,0.06
52,268,30.0
53,268,544.0
54,268,485.0
55,268,154.0
56,268,544.0
57,268,5.0
58,268,178.0
59,268,0.3
60,268,59.0
61,268,16.0
62,268,495.0
63,268,59.0
64,268,0.0
65,268,129.0
66,268,54.0
