micro_id,product_id,weight
1,511,
2,511,300.0
3,511,420.0
4,511,480.0
5,511,330.0
6,511,180.0
7,511,0.0
8,511,1753.0
9,511,470.0
10,511,4.3
11,511,16.0
12,511,51.0
13,511,0.0
14,511,44510.0
15,511,2890.0
16,511,240.0
17,511,320.0
18,511,1920.0
19,511,0.0
20,511,1555.0
21,511,260.0
22,511,2.4
23,511,171.0
24,511,23.0
25,511,0.0
26,511,
27,511,470.0
28,511,300.0
29,511,
30,511,
31,511,46.0
32,511,1324.0
33,511,187.0
34,511,60.0
35,511,136.0
36,511,452.0
37,511,3030.0
38,511,3570.0
39,511,42.0
40,511,42.0
41,511,186.0
42,511,93.0
43,511,80.0
44,511,7220.0
45,511,1127.0
46,511,228.0
47,511,720.0
48,511,610.0
49,511,
50,511,350.0
51,511,1.87
52,511,45.0
53,511,170.0
54,511,250.0
55,511,50.0
56,511,350.0
57,511,3.0
58,511,138.0
59,511,3.4
60,511,670.0
61,511,0.0
62,511,1512.0
63,511,130.0
64,511,0.0
65,511,700.0
66,511,0.0
